,row_doc,col_feature,tfidf_value
223,25,3200,0.265920876114
222,25,3215,0.312911201911
221,25,4937,0.349303375521
220,25,5180,0.342848494182
219,25,6008,0.377059466876
218,25,10063,0.249123729058
217,25,10105,0.471347882025
237,26,1359,0.305313065402
236,26,1364,0.337521024975
235,26,1886,0.256368353521
234,26,1887,0.34953707215
233,26,1889,0.364791847335
232,26,5919,0.184072484587
231,26,5924,0.338891327178
230,26,5925,0.419126804721
229,26,6956,0.197703329549
228,26,8801,0.211829062978
227,26,10063,0.195210848158
226,26,10160,0.159457759574
247,27,1198,0.260025852825
246,27,2400,0.258468705392
245,27,2403,0.376205242442
244,27,5919,0.209891484448
243,27,5935,0.388027145742
242,27,6520,0.35267410477
241,27,6736,0.251002722429
240,27,7516,0.272663376338
239,27,7519,0.398565027837
238,27,10826,0.329923945215
254,28,1003,0.23158661287
253,28,2611,0.367834479116
252,28,2615,0.418122105826
251,28,5180,0.469757112231
250,28,6956,0.345697507992
249,28,9693,0.423731465454
248,28,10063,0.341339237407
261,29,6576,0.245106950962
260,29,6736,0.28287552858
259,29,7906,0.468778856168
258,29,8198,0.390396372218
257,29,8200,0.460799163758
256,29,8400,0.327389751209
255,29,9165,0.410147724575
277,30,1003,0.173665710197
276,30,1708,0.172127059523
275,30,1722,0.168942535962
274,30,2125,0.186421516598
273,30,2611,0.55167468671
272,30,2615,0.313547797766
271,30,2717,0.360655398814
270,30,2798,0.166618274722
269,30,4100,0.200676918145
268,30,4628,0.207988424759
267,30,5919,0.120681797465
266,30,5936,0.21871371693
265,30,6630,0.285550373176
264,30,6736,0.14431962207
263,30,7906,0.239165217635
262,30,10160,0.10454386536
306,31,1740,0.192899589182
305,31,3498,0.15575195477
304,31,3859,0.296772043684
303,31,4565,0.139686678491
302,31,5410,0.139686678491
301,31,5414,0.206869566494
300,31,5919,0.161614817101
299,31,6446,0.114472057854
298,31,7041,0.0964098396858
297,31,7381,0.175765019994
296,31,7402,0.206869566494
295,31,7566,0.172262785933
294,31,7761,0.206869566494
293,31,7799,0.113713229966
292,31,7916,0.251554437644
291,31,8080,0.130280179958
290,31,8867,0.186625897595
289,31,9117,0.284727807868
288,31,9119,0.206869566494
287,31,9124,0.214051122325
286,31,9240,0.24692825737
285,31,9274,0.183995728745
284,31,9279,0.214051122325
283,31,9569,0.20216219944
282,31,9693,0.10638263778
281,31,10160,0.140003198776
280,31,10516,0.0891909412668
279,31,10556,0.160142804122
278,31,11014,0.173873894296
312,32,2004,0.381172419134
311,32,3498,0.467395769523
310,32,4593,0.452143567161
309,32,6576,0.251273282123
308,32,10516,0.267652940148
307,32,10530,0.545012492994
315,33,2920,0.497539876574
314,33,7869,0.653701938883
